tweetid,link,author,title,description,pubdate,source,favorite_count,retweet_count,tweet_type,user_id,user_friends_count,user_followers_count,user_location
1.46598E+18,https://twitter.com/yeetbeete/statuses/1465979880210845701,yeetbeete,@letterboxd Out of Sight (1998) The Harder They Fall (2021) Passing (2021) Dune (2021) https://t.co/Toyw37dkwp,@letterboxd Out of Sight (1998) The Harder They Fall (2021) Passing (2021) Dune (2021) https://t.co/Toyw37dkwp,12/1/2021 4:43,Twitter for iPhone,0,0,reply,3904260912,1609,99,Kugane (Eorzea)
1.46598E+18,https://twitter.com/vinidsmonteiro/statuses/1465978556547276809,vinidsmonteiro,Timothée Chamalet is everywhere I\'ve watched recently!  Dune(2021) Little women (2019) The king (2019) Don\'t look up (2021; trailer)  Is this like a contract with the movie industry?,Timothée Chamalet is everywhere I\'ve watched recently!  Dune(2021) Little women (2019) The king (2019) Don\'t look up (2021; trailer)  Is this like a contract with the movie industry?,12/1/2021 4:38,Twitter Web App,0,0,original,1.144E+18,816,331,"Dublin City, Ireland"
1.46598E+18,https://twitter.com/BenitezLeonelR/statuses/1465977502514302976,BenitezLeonelR,Autumn Sonata (1978) The Heiress (1949) Corpus Christi (2019) Dune (2021). https://t.co/UXhqDrxTpD https://t.co/qYp8hYXW9a,Autumn Sonata (1978) The Heiress (1949) Corpus Christi (2019) Dune (2021). https://t.co/UXhqDrxTpD https://t.co/qYp8hYXW9a,12/1/2021 4:34,Twitter for Android,0,0,quote,7.9968E+17,477,207,Fargo
1.46598E+18,https://twitter.com/ErasedMemories4/statuses/1465976713465282561,ErasedMemories4,What was your 2021 Movie Highlight? Mine was DUNE!,What was your 2021 Movie Highlight? Mine was DUNE!,12/1/2021 4:30,Twitter Web App,0,0,original,1.39206E+18,506,919,Hamburg
1.46598E+18,https://twitter.com/BlaqSmooch/statuses/1465975759865094149,BlaqSmooch,RT @iamblackmyth2: 2021 Popular movies released in OCTOBER that you must watch  Thread.....  1. Dune........Army Of Thieves https://t.co/Oo…,2021 Popular movies released in OCTOBER that you must watch  Thread.....  1. Dune........Army Of Thieves https://t.co/OoULJhqxnE,12/1/2021 4:27,Twitter for Android,0,1500,retweet,3108439059,698,534,Durban
1.46597E+18,https://twitter.com/TheMagicBeanBag/statuses/1465974164297289731,TheMagicBeanBag,"@dunesagapodcast hello, it would make me really happy if I could expose my video essay on Dune 2021 to some fans https://t.co/OdooIZuqR8","@dunesagapodcast hello, it would make me really happy if I could expose my video essay on Dune 2021 to some fans https://t.co/OdooIZuqR8",12/1/2021 4:20,Twitter for Android,0,0,original,1.37474E+18,201,2,"London, England"
1.46597E+18,https://twitter.com/TheMagicBeanBag/statuses/1465973895610175492,TheMagicBeanBag,@dunepod hey guys any chance of sharing my video essay on Dune 2021? https://t.co/OdooIZuqR8 from a budding YouTuber,@dunepod hey guys any chance of sharing my video essay on Dune 2021? https://t.co/OdooIZuqR8 from a budding YouTuber,12/1/2021 4:19,Twitter for Android,0,0,original,1.37474E+18,201,2,"London, England"
1.46597E+18,https://twitter.com/TheSpaceshipper/statuses/1465972246296543232,TheSpaceshipper,"RT @TheSpaceshipper: *Behind the ships of Foundation (2021)  *Behind the ships of Dune (2021)  *The Art of Lorin Wood  Three new long-form,…","*Behind the ships of Foundation (2021)  *Behind the ships of Dune (2021)  *The Art of Lorin Wood  Three new long-form, deep dive articles into the making of space fiction, on my Patreon ==&gt; https://t.co/pUcEHyohPr https://t.co/NyJp7Gt0B9",12/1/2021 4:13,TweetDeck,0,53,retweet,1.07324E+18,2780,39657,France
1.46597E+18,https://twitter.com/abrighterbeat/statuses/1465970670928605184,abrighterbeat,Favourite movie of 2021 released this year:  Dune  Favourite movie of 2021 that was new to me but released earlier:  Well.. I only really saw Dune...   Movie I\'ve watched the most in 2021:  Dune  Least favourite movie of 2021:  I don\'t think I have one! https://t.co/XjVNQaHZH4,Favourite movie of 2021 released this year:  Dune  Favourite movie of 2021 that was new to me but released earlier:  Well.. I only really saw Dune...   Movie I\'ve watched the most in 2021:  Dune  Least favourite movie of 2021:  I don\'t think I have one! https://t.co/XjVNQaHZH4,12/1/2021 4:06,Twitter Web App,0,0,quote,61438577,642,257,UK
1.46597E+18,https://twitter.com/GoMovieReviews/statuses/1465969072525348866,GoMovieReviews,#DuneMovie for release tomorrow: ★★★★☆ (4.2/5) Classic #DenisVilleneuve with deep bass soundtrack driving a foreboding tension and underlying serious tone to the film that blurs fantasy with political intrigue.  Worth seeing on the big screen. https://t.co/Cs2YlbtXuO,#DuneMovie for release tomorrow: ★★★★☆ (4.2/5) Classic #DenisVilleneuve with deep bass soundtrack driving a foreboding tension and underlying serious tone to the film that blurs fantasy with political intrigue.  Worth seeing on the big screen. https://t.co/Cs2YlbtXuO,12/1/2021 4:00,Twitter Web App,0,0,original,7.01916E+17,1797,2023,"Melbourne, Australia"
